,titol,descripcio,origen
491,Mapa d'orografia i relleu de la ciutat de Barcelona,"
Servei WMS que genera la cartografia de l'Orografia i Relleu que recobreix el territori del municipi de Barcelona
",barcelona
492,Parcel·lari de la ciutat de Barcelona,"
Informació de les parcel·les, edificacions, volumetria i numeració postal de la ciutat de Barcelona.
",barcelona
493,Mapa del Pla especial urbanístic d’allotjament turístics (PEUAT) de la ciutat de Barcelona,"
Mapa del Pla especial urbanístic d’allotjament turístics (PEUAT)  de la ciutat de Barcelona
",barcelona
494,Mapa del plànol de la ciutat de Barcelona,"
Servei que genera la cartografia del plànol de la ciutat que recobreix el territori del municipi de Barcelona
",barcelona
495,Mapa de serveis públics de la ciutat de Barcelona,"
Servei WMS que genera la cartografia dels Serveis Públics que recobreix el territori del municipi de Barcelona
",barcelona
496,Mapa de toponímia de la ciutat de Barcelona,"
Servei WMS que genera la cartografia de la Toponímia que recobreix el territori del municipi de Barcelona
",barcelona
497,Mapa urbanístic de la ciutat de Barcelona,"
Mapa urbanístic amb informació de zonificacions, qualificacions, àmbits de planejament urbanístic, gestió urbanística i catàleg de patrimoni arquitectònic protegit de la ciutat de Barcelona.
",barcelona
498, Usos del sòl de la ciutat de Barcelona,"
Informació de zonificacions i qualificacions classificades segons els usos del sòl de la ciutat de Barcelona
",barcelona
499,Mapa de vegetació de la ciutat de Barcelona,"
Servei WMS que genera la cartografia de la Vegetació que recobreix el territori del municipi de Barcelona
",barcelona
500, Xarxa topogràfica municipal de la ciutat de Barcelona,"
Xarxa topogràfica que recobreix el territori de la ciutat de  Barcelona. Es tracta  dels vèrtex geodèsics  per recolzar els punts de triangulació dels aixecaments topogràfics.
",barcelona
501,Mapes d'immissió de la qualitat de l'aire de la ciutat de Barcelona,"
Els mapes d'immissió de la qualitat de l’aire proporcionen un conjunt d’informació detallada de la contaminació atmosfèrica a la qual està sotmesa la ciutat de Barcelona i permeten conèixer i avaluar globalment la presència dels diferents contaminants amb més incidència a la ciutat, a nivell de tram de carrer i seguint els criteris d’avaluació que s’estableixen a la Directiva 2008/50/CE, de 21 de maig de 2008, i als valors guia de l’Organització Mundial de la Salut (OMS).
Aquests mapes han estat realitzats conjuntament per l’Ajuntament de Barcelona i l’Agència de Salut Pública de Barcelona (ASPB). Les dades mostrades, actualitzades anualment, són les que també es poden consultar gràficament als  Mapes de dades ambientals.
Per a més informació sobre els mapes d'immissió de la qualitat de l'aire, consulta les   FAQ dels Mapes de dades ambientals.
",barcelona
502,Contenidors de sal de la ciutat de Barcelona,"
Contenidors de sal de la ciutat de Barcelona
",barcelona
503,Punts de recollida d'arbres de Nadal de la ciutat de Barcelona,"
Punts de recollida d'arbres de Nadal de la ciutat de Barcelona
",barcelona
504,Punts de roba amiga de la ciutat de Barcelona,"
Punts de roba amiga de la ciutat de Barcelona
",barcelona
505,Punts verds de barri de la ciutat de Barcelona,"
Són instal·lacions mediambientals de dimensions més reduïdes i situades dins la trama urbana. Estan pensades per als residus domèstics de menor volum.
",barcelona
506,Punts verds mòbils de la ciutat de Barcelona,"
Són camions que acompleixen totes les funcions d'un punt verd. S'ubiquen en diferents llocs de la ciutat, en horaris fixos, per acostar-se als ciutadans.
",barcelona
507,Punts verds col·laboradors de la ciutat de Barcelona,"
Llista dels punts verds col·laboradors de la ciutat de Barcelona. Aquestes instal.lacions serveixen per desfer-nos dels residus que no podem llençar als contenidors  habituals que trobem al carrer.
",barcelona
508,Mercats i fires al carrer de la ciutat de Barcelona,"
Mercats i fires al carrer de la ciutat de Barcelona.
",barcelona
509,Mercats municipals de la ciutat de Barcelona,"
Mercats municipals de la ciutat de Barcelona.
",barcelona
510,Mesures de les estacions meteorològiques de la ciutat de Barcelona,"
Detall de les mesures de les estacions meteorològiques de la ciutat de Barcelona.   Cada estació mostra la informació captada per els diferents  sensors.
",barcelona
511,Estacions meteorològiques de la ciutat de Barcelona,"
Estacions meteorològiques de la ciutat de Barcelona incorporades dins la Xarxa d'Estacions Meteorològiques Automàtiques (XEMA),  propietat del Servei Meteorològic de Catalunya.
Aquestes Estacions Meteorològiques Automàtiques (EMA) estan equipades amb sensors que aporten informació sobre diverses variables meteorològiques.
",barcelona
512,Llista de  metadades de les estacions meteorològiques de la ciutat de Barcelona,"
LLista de  metadades de la Xarxa d’Estacions Meteorològiques Automàtiques (XEMA) de la ciutat de Barcelona, integrada a la Xarxa d’Equipaments Meteorològics de la Generalitat de Catalunya (Xemec), del Servei Meteorològic de Catalunya.
",barcelona
513,Modificacions de crèdit dels pressupostos liquidats de la ciutat de Barcelona,"
Base de dades de les modificacions de crèdit dels pressupostos liquidats d’anys anteriors a l’exercici actual.
",barcelona
514,Modificacions de contractes adjudicats per l'Ajuntament de Barcelona,"
Modificacions de contractes adjudicats per l'Ajuntament de Barcelona
",barcelona
515,Nombre total d'edificis de la ciutat de Barcelona amb habitatges i nombre d'immobles a l'edifici,"
Nombre total d'edificis amb habitatges i nombre d'immobles a l'edifici. Dades del Cens d'Edificis 2011
",barcelona
516,Nombre d'edificis de la ciutat de Barcelona destinats principalment a habitatges segons any de construcció,"
Nombre d'edificis destinats principalment a habitatges segons any de construcció . Dades del Cens d'Edificis 2011
",barcelona
517,Nombre d'edificis de la ciutat de Barcelona destinats principalment a habitatges segons estat de conservació de l'edifici,"
Nombre d'edificis destinats principalment a habitatges segons estat de conservació de l'edifici . Dades del Cens d'Edificis 2011
",barcelona
518,Nombre d'edificis de la ciutat de Barcelona destinats principalment a habitatges segons instal.lacions,"
Nombre d'edificis destinats principalment a habitatges segons instal.lacions . Dades del Cens d'Edificis 2011
",barcelona
519,Nombre total d'edificis de la ciutat de Barcelona amb habitatges segons nombre d'immobles,"
Nombre total d'edificis amb habitatges segons nombre d'immobles. Dades del Cens d'Edificis 2011
",barcelona
520,Nombre d'edificis de la ciutat de Barcelona destinats principalment a habitatges segons  nombre de places de garatge,"
Nombre d'edificis destinats principalment a habitatges segons  nombre de places de garatge . Dades del Cens d'Edificis 2011
",barcelona
521,Nombre d'edificis de la ciutat de Barcelona destinats principalment a habitatges segons nombre de plantes sobre rasant,"
Nombre d'edificis destinats principalment a habitatges segons nombre de plantes sobre rasant . Dades del Cens d'Edificis 2011
",barcelona
522,Nombre d'edificis de la ciutat de Barcelona destinats principalment a habitatges segons nombre de plantes sota rasant,"
Nombre d'edificis destinats principalment a habitatges segons nombre de plantes sota rasant . Dades del Cens d'Edificis 2011
",barcelona
523,Nombre d'edificis de la ciutat de Barcelona destinats principalment a habitatges segons nombre d'immobles,"
Nombre d'edificis destinats principalment a habitatges segons nombre d'immobles . Dades del Cens d'Edificis 2011
",barcelona
524,Nombre total d'edificis de la ciutat de Barcelona amb habitatges segons nombre de plantes,"
Nombre total d'edificis amb habitatges segons nombre de plantes . Dades del Cens d'Edificis 2011
",barcelona
525,Nombre total d'edificis de la ciutat de Barcelona amb habitatges segons nombre de plantes sobre rasant,"
Nombre total d'edificis amb habitatges segons nombre de plantes sobre rasant . Dades del Cens d'Edificis 2011
",barcelona
526,Nombre total d'edificis de la ciutat de Barcelona amb habitatges segons nombre de plantes sota rasant,"
Nombre total d'edificis amb habitatges segons nombre de plantes sobre rasant . Dades del Cens d'Edificis 2011
",barcelona
527,Nombre total d'edificis de la ciutat de Barcelona amb habitatges segons tipus d'edifici,"
Nombre total d'edificis amb habitatges segons tipus d'edifici. Dades del Cens d'Edificis 2011
",barcelona
528,Nomenclàtor de la ciutat de Barcelona,"
Nomenclàtor de les vies públiques  de la ciutat de Barcelona
",barcelona
529,Dipòsits municipals de vehicles de la ciutat de Barcelona,"
Dipòsits municipals de vehicles de la ciutat de Barcelona
",barcelona
530,Circuits per caminar o córrer a la ciutat de Barcelona,"
Circuits per caminar o córrer a la ciutat de Barcelona
",barcelona
531,Esculleres a la ciutat de Barcelona,"
Esculleres a la ciutat de Barcelona
",barcelona
532,Espais per fer gimnàstica a la ciutat de Barcelona,"
Espais per fer gimnàstica a la ciutat de Barcelona
",barcelona
533,Jardins botànics a la ciutat de Barcelona,"
Jardins botànics a la ciutat de Barcelona
",barcelona
534,Jardins interiors d'illa a la ciutat de Barcelona,"
Jardins interiors d'illa a la ciutat de Barcelona
",barcelona
535,Molls a la ciutat de Barcelona,"
Molls a la ciutat de Barcelona
",barcelona
536,Dipòsits d'aigües pluvials a la ciutat de Barcelona,"
Dipòsits d'aigües pluvials a la ciutat de Barcelona
",barcelona
537,Fossars a la ciutat de Barcelona,"
Fossars a la ciutat de Barcelona
",barcelona
538,Miradors a la ciutat de Barcelona,"
Miradors a la ciutat de Barcelona
",barcelona
539,Piscines descobertes i cobertes a la ciutat de Barcelona,"
Piscines descobertes i cobertes a la ciutat de Barcelona
",barcelona
540,Plantes depuradores a la ciutat de Barcelona,"
Plantes depuradores a la ciutat de Barcelona
",barcelona
541,Platges a la ciutat de Barcelona,"
Platges a la ciutat de Barcelona
",barcelona
542,Punt BCN. Quioscs de tràmits de la ciutat de Barcelona,"
Punt BCN. Quioscs de tràmits de la ciutat de Barcelona
",barcelona
543,Umbracles a la ciutat de Barcelona,"
Umbracles a la ciutat de Barcelona
",barcelona
544,Obres a l'espai públic de la ciutat de Barcelona,"
Obres que es desenvolupen a l'espai públic urbà de Barcelona i que hi tenen impacte. Cada obra està georeferenciada i disposa de fitxa pròpia amb la informació sobre l'obra: tipologia, durada, afectacions.
",barcelona
545,Oferta pública de l'Ajuntament de Barcelona,"
Processos selectius de personal de nou ingrés a l'Ajuntament de Barcelona i les entitats municipals adherides al seu sistema de selecció de personal, amb informació de les places vacants en cada moment, els requisits i els terminis per participar en els processos de selecció, i el desenvolupament dels processos.
",barcelona
546,Ordenances municipals de la ciutat de Barcelona,"
Ordenances municipals i altres normatives vigents de l’Ajuntament de Barcelona
",barcelona
547,Pressupostos consolidats de la ciutat de Barcelona inicials segons LGEP i LOEPSF,"
Pressupostos inicials consolidats segons el perímetre de la normativa en estabilitat pressupostària (LGEP i LOEPSF).
",barcelona
548,Parades de taxi de la ciutat de Barcelona,"
Parades de taxi de la ciutat de Barcelona.
",barcelona
549,Patis escolars oberts al públic de la ciutat de Barcelona,"
Patis escolars oberts al públic de la ciutat de Barcelona.
",barcelona
550,Catàleg del patrimoni arquitectònic protegit de la ciutat de Barcelona,"
Catàleg de patrimoni protegit que cobreix el territori del municipi de Barcelona
",barcelona
551,Perfil del contractant de l'Ajuntament de Barcelona,"
Relació dels anuncis de contractació pública (licitacions, adjudicacions, formalitzacions...) de l'Ajuntament de Barcelona i del seu Grup Municipal.
",barcelona
552,Dades de la plantilla municipal de la ciutat de Barcelona (Ajuntament i entitats municipals),"
Dades de la plantilla de l'Ajuntament de Barcelona i de les seves entitats municipals: nombre d'empleats, gènere, tipus de vinculació laboral i la seva classificació. Es comptabilitzen només els llocs ocupats; no es tenen en compte possibles vacants pendents de cobrir.
",barcelona
553,Població exposada als nivells de soroll del Mapa Estratègic de Soroll de la ciutat de Barcelona,"
Les dades de població exposada determinen els percentatges de població que està exposada als diferents rangs de soroll, segons la tipologia de la font i la franja horària. Les dades estan disponibles a nivell de ciutat, districte i barri.
Un Mapa Estratègic de Soroll (MES) és un conjunt de mapes que serveixen per avaluar globalment l’exposició de la població al soroll produït per diferents fonts de soroll en una zona determinada, i també són la base per a l’elaboració de plans d’acció. S’elaboren cada 5 anys i s’utilitzen com a eina de gestió per a la millora i recuperació de la qualitat acústica on sigui necessari i per a protegir la bona qualitat acústica en entorns tranquils.
Aquesta informació es pot consultar gràficament als  Mapes de dades ambientals. Es poden consultar també els altres datasets disponibles del Mapa Estratègic de Soroll.
Per a més informació sobre el Mapa Estratègic de Soroll, consulta les   FAQ dels Mapes de dades ambientals.
",barcelona
554,Precipitacions acumulades mensuals de la ciutat de Barcelona des de 1786,"
Precipitacions acumulades mensuals de la ciutat de Barcelona des de 1786. La precipitació es proporciona en mil·límetres (mm).
",barcelona
555,Predicció meteorològica del Barcelonès,"
El Servei Meteorològic de Catalunya actualitza cada dia a les 15 hores la predicció de la comarca. La informació conté el símbol del temps pel matí i per la tarda, la temperatura màxima i mínima, per a demà i demà passat.
",barcelona
556,Base de dades del pressupost de la ciutat de Barcelona. Despeses,"
Base de dades de les despeses del pressupost mostrats al màxim nivell per partida.
",barcelona
557,Base de dades del pressupost de la ciutat de Barcelona. Ingressos,"
Base de dades dels ingressos del pressupost mostrats al màxim nivell per partida.
",barcelona
558,Pròrrogues de contractes adjudicats per l'Ajuntament de la ciutat de Barcelona,"
Pròrrogues de contractes adjudicats per l'Ajuntament de Barcelona
",barcelona
559,Provisió i promoció de personal de l'Ajuntament de Barcelona,"
Convocatòries de provisió i promoció de personal reservades a personal funcionari de carrera, o laboral fix, a l'Ajuntament de Barcelona i les entitats municipals adherides al seu sistema de selecció de personal.
",barcelona
560,Punts d'ancoratge de bicicletes de la ciutat de Barcelona,"
Punts d'ancoratge de bicicletes de la ciutat de Barcelona.
",barcelona
561,Estat dels punts crítics en neteja de la ciutat de Barcelona,"
Llistat i estat dels punts crítics de la ciutat de Barcelona en referència a problemàtiques de neteja. Les dades s'obtenen en el marc de la Campanya per la millora de la neteja de la ciutat de Barcelona realitzada des de febrer de 2017. Dades dividides en diversos arxius: del febrer 2017 a l' agost 2017, del setembre 2017 al gener 2018 i a partir de gener de 2018. Les coordenades s'expressen en el sistema geogràfic (longitud i latitud). El febrer de 2019 es canvia la metodologia i es comença a mesurar l'estat dels espais prioritaris en neteja de la ciutat de Barcelona (enllaç).
",barcelona
562,Punts d'interès turístic de la ciutat de Barcelona,"
Detall dels principals punts d'interès turístic més singulars de la ciutat de Barcelona.
",barcelona
563,Estacions de recàrrega de vehicle elèctric a la ciutat de Barcelona,"
Estacions de recàrrega de vehicle elèctric a la ciutat de Barcelona. Manteniment assegurat només dels punts de recàrrega de propietat pública. Es proporciona informació referent a l'estat del servei.
",barcelona
564,Punts verds de la ciutat de Barcelona,"
Llista dels punts verds  de la ciutat de Barcelona. Aquestes instal·lacions serveixen per desfer-nos dels residus que no es poden llençar als contenidors  habituals que trobem al carrer.
",barcelona
565,Punts wifi de la ciutat de Barcelona,"
Punts d’accés wifi ubicats en diversos equipaments municipals i punts de la via pública de la ciutat de Barcelona.
",barcelona
566,Qualificacions i altres elements urbanístics de la ciutat de Barcelona,"
Servei WMS que genera la cartografia de les qualificacions i altres elements urbanístics (ordenació volumètrica, alineació de substitució i elements auxiliars) que cobreix el territori del municipi de Barcelona.
",barcelona
567,Dades de les estacions de mesura de la qualitat de l'aire de la ciutat de Barcelona,"
Es mostren dades dels contaminants mesurats a les estacions de la ciutat de Barcelona.
L'actualització es realitza en intervals d'una hora indicant si el valor està o no validat i també es mostren les dades dels tres dies anteriors a l'actual. Tanmateix es publiquen històrics amb periodicitat mensual.
",barcelona
568,Estacions de mesura de la qualitat de l'aire de la ciutat de Barcelona,"
Llista de les estacions de mesura de la qualitat de l'aire de la ciutat de Barcelona. Es detallen les característiques principals de cada una d'elles.
Les dades dels contaminants mesurats a les estacions estan disponibles al dataset de la  Qualitat de l'aire de la ciutat de Barcelona.
",barcelona
569,"Registre de convenis vigents subscrits per l'Ajuntament de Barcelona, els organismes autònoms, les entitats públiques empresarials i les societats mercantils","
Registre dels convenis vigents que ha signat l'Ajuntament de Barcelona, els organismes autònoms, les entitats públiques empresarials i les societats mercantils.
",barcelona
570,Registre públic d'estudis i informes de la ciutat de Barcelona,"
Registre públic de l'Ajuntament de Barcelona en format electrònic de tots els informes i estudis encarregats donant compliment a un acord de tots els grups per afavorir la transparència.  Els fitxers corresponents a l’any en curs i anterior a aquest  estan en període de consultes , podent  estar subjectes a canvis.
",barcelona
571,Relació de contractistes de l'Ajuntament de Barcelona i entitats municipals,"
Relació de les persones i empreses adjudicatàries de contractes amb l'Ajuntament de Barcelona i les entitats municipals, indicant, per a cada contractista, el seu CIF i l'import total dels contractes que ha signat amb cadascuna de les entitats. Les dades del 2012 i 2013 recullen els adjudicataris principals, per import, de l'Ajuntament i les entitats municipals integrades al seu prefil del contractant; a partir de 2014 es recullen tots els contractistes de l'Ajuntament.
",barcelona
572,Renda  disponible de les llars de la ciutat de Barcelona per càpita,"
Renda disponible de les llars de la ciutat de Barcelona per càpita
",barcelona
573,Renda tributària mitjana per persona de la ciutat de Barcelona,"
Renda tributària mitjana per persona de la ciutat de Barcelona en base al projecte experimental   Atles de distribució de la renda de les llars de l'Institut Nacional d'Estadística (INE).
",barcelona
574,Renda tributària mitjana per llar de la ciutat de Barcelona,"
Renda tributària mitjana per llar de la ciutat de Barcelona en base al projecte experimental   Atles de distribució de la renda de les llars de l'Institut Nacional d'Estadística (INE).
",barcelona
575,Resum trimestral de la contractació a l'Ajuntament de Barcelona i entitats municipals,"
Resums, per trimestre i tipus de contracte, de tots els contractes formalitzats per l'Ajuntament de Barcelona i les seves entitats municipals. S'hi recullen el nombre de contractes i el seu import d'adjudicació global
",barcelona
576,Ronda Verda de la ciutat de Barcelona,"
Ronda Verda de la ciutat de Barcelona.
",barcelona
577,Farmàcies de la ciutat de Barcelona,"
Informació de les farmàcies de la ciutat de Barcelona.
",barcelona
578,Hospitals i serveis d'atenció primària de la ciutat de Barcelona,"
Llista d'hospitals i Centres d'Atenció Primària de la ciutat de Barcelona
",barcelona
579,Centres de planificació familiar de la ciutat de Barcelona,"
Informació de serveis sanitaris de la ciutat de Barcelona.
",barcelona
580,Servei de catàleg de metadades CSW  publicats per l'Ajuntament de Barcelona,"
Servei de catàleg de metadades basat en l'estàndard CSW (Open Geospatial Consortium). El servei  permet cercar i consultar els registres de metadades dels conjunts de dades i dels serveis web de la infraestructura de dades espacials publicats per l'Ajuntament de Barcelona.
",barcelona
581,Centres de dia per a la gent gran de la ciutat de Barcelona,"
Informació referent als centres de dia per a la gent gran de la ciutat de Barcelona.
",barcelona
582,Centres de Serveis Socials de la ciutat de Barcelona,"
Data i informació referent als centres de Serveis Socials de la ciutat de Barcelona.
",barcelona
583,Equips d'atenció a la infantesa i l'adolescència de la ciutat de Barcelona,"
Data i informació referent als equips d'atenció a la infantesa i l'adolescència de la ciutat de Barcelona.
",barcelona
584,Habitatges tutelats de la ciutat de Barcelona,"
Data i informació referent als habitatges tutelats de la ciutat de Barcelona.
",barcelona
585,Menjadors Socials a la ciutat de Barcelona,"
Dades i informació referent als menjadors socials de la ciutat de Barcelona.
",barcelona
586,Oficines de Benestar Social de la ciutat de Barcelona,"
Data i informació referent a les oficines de Benestar Social de la ciutat de Barcelona.
",barcelona
587,Punts d'assessorament energètic de la ciutat de Barcelona,"
Data i informació referent als punts d'assessorament energètic de la ciutat de Barcelona.
",barcelona
588,Punts d'informació i atenció a les dones de la ciutat de Barcelona,"
Data i informació referent als punts d'informació i atenció a les dones de la ciutat de Barcelona.
",barcelona
589,Residències per a la gent gran de la ciutat de Barcelona,"
Data i informació referent a les residències per a la gent gran de la ciutat de Barcelona.
",barcelona
590,Sistema d'Informació a l'Usuari (SIU) de predicció d'estacionament a l'àrea blava a la ciutat de Barcelona,"
Informació del Sistema d'Informació (SIU) a l'usuari de B:SM de la predicció d'estacionament a l'àrea blava de la ciutat de Barcelona per a dos dies consecutius.
",barcelona
591,Relació de subvencions atorgades per ens participats de l'Ajuntament de Barcelona,"
Detall de les subvencions atorgades per l'Ajuntament de Barcelona (subvencions gestionades per Barcelona Activa), l'Institut Municipal de Parcs i Jardins, l’Institut Municipal de l'Habitatge i la Rehabilitació, l’Institut Municipal d'Urbanisme i la Fundació Mies van der Röhe, així com aquelles que atorguen els consorcis, fundacions i associacions vinculats a l'Ajuntament.
Per veure les subvencions atorgades per l'Ajuntament de Barcelona (exceptuant les subvencions gestionades per Barcelona Activa), l'Institut de Cultura de Barcelona, l'Institut Municipal Barcelona Esports, l'Institut Municipal d'Educació, l'Institut Municipal de Mercats, l'Institut Municipal de Persones amb Discapacitat, l'Institut Municipal de Serveis Socials, l'Institut Municipal del Paisatge Urbà i la Qualitat de Vida i l'Institut Municipal d'Hisenda, per a les quals s’ha realitzat pagaments l’any 2019 i següents, podeu consultar Subvencions atorgades per l'Ajuntament de Barcelona.
Per veure les subvencions atorgades per l’Ajuntament de Barcelona i les seves entitats dependents fins l’any 2018, podeu consultar Relació de subvencions i transferències de l'Ajuntament de Barcelona, fins l'any 2018.
",barcelona
